Kode Astra,Nama Barang,Harga Beli,Harga Jual
06401KYZ900,DRIVE CHAIN KIT,180200.00,212000.00
06406K0FD10,"CHAIN KIT, DRV(420-15&34T)",453050.00,533000.00
06406MFL601,"CHAIN KIT, DRIVE(50-16/42T) STD LBL",4104225.00,4828500.00
06406MGZD00,06406MGZD01,1917600.00,2256000.00
06406MGZD01,"CHAIN KIT, DRIVE(520-15&41T)",2292025.00,2696500.00
06406MJED00,"CHAIN KIT, DRIVE(525-15&42T) (STANDARD L",2994550.00,3523000.00
06406MJLD30,"CHAIN KIT, DRIVE(520-17&43T) STD LBL",3251675.00,3825500.00
06406MJSD70,"CHAIN KIT, DRIVE(520-17&39T) STD LBL",3121200.00,3672000.00
06406MKHD01,06406MKHD02,2999650.00,3529000.00
06406MKHD02,CHAIN KIT DRIVE,0.00,0.00
06410GCR000,RUBBER DAMPER RR SET,38250.00,45000.00
06410KEA750,DAMPER SET WHEEL,73950.00,87000.00
06410KR3620,"DAMPER SET,WHEEL",22525.00,26500.00
06410KSP900,"DAMPER SET,WHEEL",51850.00,61000.00
06410KWB600,DAMPER SET WHEEL,23800.00,28000.00
06410MBB000,DAMPER SET WHEEL,384200.00,452000.00
06410MELD20,"DAMPER SET, WHEEL",425425.00,500500.00
06410MERD00,"DAMPER SET, WHEEL",508300.00,598000.00
06410MFJD00,DAMPER SET WHEEL,435200.00,512000.00
06410MGSD30,"DAMPER SET, WHEEL",341700.00,402000.00
06420K2ET00,SPOKE SET A10X161(SERVICE),17000.00,20000.00
06420K58N50,SPOKE SET A10X159,5100.00,6000.00
06420K84900,"SPOKE SET,A 10X223.5",8500.00,10000.00
06420KZZ900,SPOKE SET RR,13600.00,16000.00
06420MJPG51,SPOKE SET REAR A,41650.00,49000.00
06420MKHD01,SPOKE SET REAR A,40800.00,48000.00
06420MKKD00,SPOKE SET REAR A (SERVICE),52700.00,62000.00
06420MKTD00,SPOKE SET REAR A,0.00,0.00
06421K2ET00,SPOKE SET A10X160(SERVICE),17000.00,20000.00
06421K58N50,SPOKE SET A10X158.5,5100.00,6000.00
06421K84900,"SPOKE SET,A 10X222.5",8500.00,10000.00
06421MJPG51,SPOKE SET REAR B,41650.00,49000.00
06421MKHD01,SPOKE SET REAR B,40800.00,48000.00
06421MKKD00,SPOKE SET REAR B (SERVICE),52700.00,62000.00
06421MKTD00,SPOKE SET REAR B,0.00,0.00
06422MJPG51,SPOKE SET REAR C,41650.00,49000.00
06422MKHD01,SPOKE SET REAR C,40800.00,48000.00
06422MKKD00,SPOKE SET REAR C (SERVICE),52700.00,62000.00
06422MKTD00,SPOKE SET REAR C,0.00,0.00
06430GGZJ00,SHOE SET BRAKE (50-16&43T) LBL,340850.00,401000.00
06430K44V80,"SHOE SET,BRAKE",48450.00,57000.00
06430KEH880,06430KGA900,43350.00,51000.00
06430KGA900,"SHOE SET,BRAKE",44200.00,52000.00
06430KPH900,SHOE SET BRAKE,39950.00,47000.00
06430KSY880,SHOE SET BRAKE,138550.00,163000.00
06430KVR600,SHOE SET BRAKE(SERVICE),36550.00,43000.00
06430KWN900,"SHOE SET,BRAKE",66300.00,78000.00
06430KZL930,SHOE SET BRAKE,51425.00,60500.00
06431MA3405,"SEAL SET,PISTON",79475.00,93500.00
06431MJTE01,SEAL SET PISTON,642175.00,755500.00
06435K07901,PAD SET RR,42925.00,50500.00
06435K0BT01,PAD SET RR BRAKE,308550.00,363000.00
06435K0FD11,PAD SET RR,298350.00,351000.00
06435K0FT01,PAD SET RR,282200.00,332000.00
06435K0RV01,"PAD SET, RR. BRAKE",0.00,0.00
