Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
252,"GANTI BEARING 6204,atau 6022",LR,,35,MENIT,35000.00
254,"LAMPU SEIN, GANTI",LR,,10,MENIT,5000.00
255,SETTING KLEP,LR,,1,JAM,70000.00
256,GANTI BLOK KLEP,LR,,35,MENIT,35000.00
257,PASANG KARET KOPLING,LR,,25,MENIT,15000.00
258,PASANG STANG SEHER,LR,,35,MENIT,65000.00
259,GANTI AS DONGKRAK DOBLLE,LR,,30,MENIT,25000.00
260,"RELAY COMP WINKER,GANTI",LR,,15,MENIT,15000.00
261,PASANG VACUUM,LR,,30,MENIT,20000.00
262,GULUNG SETELAN KAMRAT,LR,,30,MENIT,50000.00
263,SPUL MATIC,LR,,1,JAM,60000.00
264,SWITCH HORN,LR,,15,MENIT,5000.00
265,RELAY COMP STATER,LR,,15,MENIT,20000.00
266,HONDA CARE,LR,,1,JAM,0.00
267,PEMBERSIHAN MASTER REM,LR,,25,MENIT,35000.00
268,BERSIHIN KUL STATER,LR,,20,MENIT,15000.00
269,BYSTARTER ASSY,LR,,30,MENIT,30000.00
270,PRES PELEX,LR,,1,HARI,160000.00
271,PEMBERSIHAN KOPLING+CVT,LR,,20,MENIT,45000.00
272,KELISTRIKAN,LR,,20,MENIT,30000.00
273,POTONG RANTAI,LR,,10,MENIT,20000.00
274,wingker assy L FR,LR,,15,MENIT,15000.00
275,PERBAIKAN SWITCH,LR,,15,MENIT,15000.00
276,PERBAIKAN POMPA BENSIN INJECTION,LR,,25,MENIT,40000.00
277,LAMPU KOTA,LR,,15,MENIT,5000.00
278,ganti lever handle kiri,LR,,10,MENIT,10000.00
279,PERBAIKAN PLAMPUNG BENSIN,LR,,15,MENIT,20000.00
280,pasang stut kamrat,LR,,15,MENIT,30000.00
281,switch unit dimer,LR,,15,MENIT,10000.00
283,pres stang seher,LR,,1,HARI,250000.00
284,PERBAIKAN KUNCI SADEL,LR,,15,MENIT,15000.00
