Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
06406MJLD30,"CHAIN KIT, DRIVE(520-17&43T) STD LBL",HGP,,PCS,,3825500.00,15
06406MJSD70,"CHAIN KIT, DRIVE(520-17&39T) STD LBL",HGP,,PCS,,3672000.00,15
06406MKHD01,06406MKHD02,HGP,,PCS,,3529000.00,15
06406MKHD02,CHAIN KIT DRIVE,HGP,,PCS,,0.00,15
06410GCR000,RUBBER DAMPER RR SET,HGP,,PCS,,45000.00,15
06410KEA750,DAMPER SET WHEEL,HGP,,PCS,,87000.00,15
06410KR3620,"DAMPER SET,WHEEL",HGP,,PCS,,26500.00,15
06410KSP900,"DAMPER SET,WHEEL",HGP,,PCS,,61000.00,15
06410KWB600,DAMPER SET WHEEL,HGP,,PCS,,28000.00,15
06410MBB000,DAMPER SET WHEEL,HGP,,PCS,,452000.00,15
06410MELD20,"DAMPER SET, WHEEL",HGP,,PCS,,500500.00,15
06410MERD00,"DAMPER SET, WHEEL",HGP,,PCS,,598000.00,15
06410MFJD00,DAMPER SET WHEEL,HGP,,PCS,,512000.00,15
06410MGSD30,"DAMPER SET, WHEEL",HGP,,PCS,,402000.00,15
06420K2ET00,SPOKE SET A10X161(SERVICE),HGP,,PCS,,20000.00,15
06420K58N50,SPOKE SET A10X159,HGP,,PCS,,6000.00,15
06420K84900,"SPOKE SET,A 10X223.5",HGP,,PCS,,10000.00,15
06420KZZ900,SPOKE SET RR,HGP,,PCS,,16000.00,15
06420MJPG51,SPOKE SET REAR A,HGP,,PCS,,49000.00,15
06420MKHD01,SPOKE SET REAR A,HGP,,PCS,,48000.00,15
06420MKKD00,SPOKE SET REAR A (SERVICE),HGP,,PCS,,62000.00,15
06420MKTD00,SPOKE SET REAR A,HGP,,PCS,,0.00,15
06421K2ET00,SPOKE SET A10X160(SERVICE),HGP,,PCS,,20000.00,15
06421K58N50,SPOKE SET A10X158.5,HGP,,PCS,,6000.00,15
06421K84900,"SPOKE SET,A 10X222.5",HGP,,PCS,,10000.00,15
06421MJPG51,SPOKE SET REAR B,HGP,,PCS,,49000.00,15
06421MKHD01,SPOKE SET REAR B,HGP,,PCS,,48000.00,15
06421MKKD00,SPOKE SET REAR B (SERVICE),HGP,,PCS,,62000.00,15
06421MKTD00,SPOKE SET REAR B,HGP,,PCS,,0.00,15
06422MJPG51,SPOKE SET REAR C,HGP,,PCS,,49000.00,15
06422MKHD01,SPOKE SET REAR C,HGP,,PCS,,48000.00,15
06422MKKD00,SPOKE SET REAR C (SERVICE),HGP,,PCS,,62000.00,15
06422MKTD00,SPOKE SET REAR C,HGP,,PCS,,0.00,15
06430GGZJ00,SHOE SET BRAKE (50-16&43T) LBL,HGP,,PCS,,401000.00,15
06430K44V80,"SHOE SET,BRAKE",HGP,,PCS,,57000.00,15
06430KEH880,06430KGA900,HGP,,PCS,,51000.00,15
06430KGA900,"SHOE SET,BRAKE",HGP,,PCS,,52000.00,15
06430KPH900,SHOE SET BRAKE,HGP,,PCS,,47000.00,15
06430KSY880,SHOE SET BRAKE,HGP,,PCS,,163000.00,15
06430KVR600,SHOE SET BRAKE(SERVICE),HGP,,PCS,,43000.00,15
06430KWN900,"SHOE SET,BRAKE",HGP,,PCS,,78000.00,15
06430KZL930,SHOE SET BRAKE,HGP,,PCS,,60500.00,15
06431MA3405,"SEAL SET,PISTON",HGP,,PCS,,93500.00,15
06431MJTE01,SEAL SET PISTON,HGP,,PCS,,755500.00,15
06435K07901,PAD SET RR,HGP,,PCS,,50500.00,15
