Kode Tipe,Tipe Kendaraan,CC Mesin,Engine Code,Model,Kode Barang,Harga Jual Oli KPB 1,Harga Jasa KPB 1,Harga Jasa KPB 2,Harga Jasa KPB 3,Harga Jasa KPB 4
NC11D1CF2 A/T,Spacy FI,110,,MATIC,,0,0,0,0,0
NC11D1D A/T,SPACY HELM-IN SPOKE,110,,MATIC,,0,0,0,0,0
NC12A1CBF A/T,VARIO TECHNO 125,125,,MATIC,,0,0,0,0,0
NC12A1CF,VARIO TECHNO 125,125,,MATIC,,0,0,0,0,0
NC12A1CF A/T,VARIO TECHNO 125 PGMFI (NON CBS ),125,,MATIC,,0,0,0,0,0
NC12AF2CBI A/T,VARIO TECHNO CBS ISS 125,125,,MATIC,,0,0,0,0,0
NCF11A1CFA/T,REVO TECHNO,110,,CUB,,0,0,0,0,0
NF11A2 M/T,NEW BLADE,110,,CUB,,0,0,0,0,0
NF11B1C M/T,REVO 110 CW,110,,CUB,,0,0,0,0,0
NF11B1CA1,REVO 110 DX,110,,CUB,,0,0,0,0,0
NF11B1D M/T,REVO 110 SPOKE,110,,CUB,,0,0,0,0,0
NF11B2C1 M/T,REVO 110 CW,110,,CUB,,0,0,0,0,0
NF11B2D1 M/T,REVO FIT,110,,CUB,,0,0,0,0,0
NF11B2DA1 M/T,NEW REVO SPOKE,110,,CUB,,0,0,0,0,0
NF11C1 M/T,NEW BLADE,110,,CUB,,0,0,0,0,0
NF11C1CD M/T,NEW BLADE S,110,,CUB,,0,0,0,0,0
NF11T11C01 M/T,REVO FIT FI,110,,CUB,,0,0,0,0,0
NF11T11C02 M/T,REVO SPOKE FI,110,,CUB,,0,0,0,0,0
NF11T11C03 M/T,REVO CW FI,110,,CUB,,0,0,0,0,0
NF11T13C01 M/T,Revo Fit MMC,110,,CUB,,0,0,0,0,0
NF11T13C02 M/T,Revo Spoke MMC,110,,CUB,,0,0,0,0,0
NF11T13C03 M/T,Revo CW MMC,110,,CUB,,0,0,0,0,0
NF11T14C01 M/T,Revo Fit,110,,CUB,,0,0,0,0,0
NF11T14C03 M/T,Revo X,110,,CUB,,0,0,0,0,0
NF11T1C01 M/T,REVO FIT FI,110,,CUB,,0,0,0,0,0
NF11T1C02 M/T,REVO FI SW,110,,CUB,,0,0,0,0,0
NF11T1C03 M/T,REVO FI CW,110,,CUB,,0,0,0,0,0
NF125TD,SUPRA X SPOKE,125,,CUB,,0,0,0,0,0
NF125TR,SUPRA X CW,125,,CUB,,0,0,0,0,0
NF125TRF,SUPRA X PGMFI,125,,CUB,,0,0,0,0,0
NF12A1C M/T,SUPRA X 125 HELM-IN,125,,CUB,,0,0,0,0,0
NF12A1CF M/T,SUPRA X 125 HELM-IN INJECTION,125,,CUB,,0,0,0,0,0
NF12A1CF3 M/T,Supra X 125 Helm-in PGM-FI MMC,125,,CUB,,0,0,0,0,0
P5E02R22M1 M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
P5E02R22M1A M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
P5E02R22M1B M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
P5E02R22S1 M/T,New CBR 150R,150,,SPORT,,0,0,0,0,0
P5E02R22S1A M/T,New CBR 150R,150,,SPORT,,0,0,0,0,0
P5E02R22S1B M/T,New CBR 150R,150,,SPORT,,0,0,0,0,0
PCX125,WW125EXS(B)-INA/T ( PCX),0,JF28E,MATIC,,27500,36000,36000,36000,36000
PCX150,,0,KF18E,MATIC,,27500,38800,46000,61200,49200
R5F04R24L0 M/T,New CBR 250 ABS,250,,SPORT,,0,0,0,0,0
R5F04R24L0A M/T,New CBR 250 ABS,250,,SPORT,,0,0,0,0,0
R5F04R24L0B M/T,New CBR 250 ABS,250,,SPORT,,0,0,0,0,0
R5F04R24L0C M/T,New CBR 250 ABS,250,,SPORT,,0,0,0,0,0
R5F04R24L0D M/T,New CBR250 ABS Kabuki,250,,SPORT,,0,0,0,0,0
